model,variant,latent_channels,residual_blocks,power_normalization,train_snrs,train_channel,snr_db,samples,parameters,bandwidth_ratio,training_seconds,mse_mean,mse_std,psnr_mean,psnr_std,ssim_mean,ssim_std,inference_ms_mean,inference_ms_std
baseline_c16_random,baseline,16,0,False,-10.0/-5.0/0.0/5.0/10.0,awgn,-10,20,72243,0.16666666666666666,8.023359400000118,0.013524191081523895,0.0014449994049820056,18.712860202789308,0.47030803866621423,0.32466034442186353,0.057367367445151224,12.715805000038927,45.80541667891899
baseline_c16_random,baseline,16,0,False,-10.0/-5.0/0.0/5.0/10.0,awgn,-5,20,72243,0.16666666666666666,8.023359400000118,0.009476864361204207,0.0017501882027918865,20.303039360046387,0.7964429600383902,0.4421960607171059,0.09948510786073496,2.6852400000279886,1.4286776002559354
baseline_c16_random,baseline,16,0,False,-10.0/-5.0/0.0/5.0/10.0,awgn,0,20,72243,0.16666666666666666,8.023359400000118,0.007888605422340333,0.0017839095185639032,21.133885383605957,0.9707737701124345,0.5037677317857743,0.11927757128554964,2.37025999999787,1.267790166338406
baseline_c16_random,baseline,16,0,False,-10.0/-5.0/0.0/5.0/10.0,awgn,5,20,72243,0.16666666666666666,8.023359400000118,0.007315332861617207,0.0017965770952021434,21.48048496246338,1.055686292035818,0.5323735013604164,0.12817052309952465,2.48722000003454,1.3855689945250795
baseline_c16_random,baseline,16,0,False,-10.0/-5.0/0.0/5.0/10.0,awgn,10,20,72243,0.16666666666666666,8.023359400000118,0.007131915702484548,0.0018123057125497713,21.59964303970337,1.0934010316710852,0.5436921417713165,0.13198063197651927,2.7990850000151113,1.5202353672434514
improved_c8_random,improved,8,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,-10,20,65579,0.08333333333333333,11.499281299999893,0.011187795549631119,0.0016881995397782178,19.559829711914062,0.658615306136097,0.42503206729888915,0.06579359336306849,14.496649999978217,47.88817694133433
improved_c8_random,improved,8,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,-5,20,65579,0.08333333333333333,11.499281299999893,0.007180743594653904,0.0016337096692570971,21.54495687484741,0.9871359045763104,0.5310485199093818,0.09088760275039226,3.793684999936886,2.211256818424028
improved_c8_random,improved,8,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,0,20,65579,0.08333333333333333,11.499281299999893,0.005732469027861953,0.0016140322571135584,22.581019401550293,1.2273003708539512,0.5943346127867699,0.10496026187605824,3.5856149999744957,2.1816614396445426
improved_c8_random,improved,8,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,5,20,65579,0.08333333333333333,11.499281299999893,0.005261373752728104,0.0015790572557141584,22.975842666625976,1.3076422484517063,0.6251506596803665,0.11043635166877092,3.5114150000254085,1.9073613974310308
improved_c8_random,improved,8,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,10,20,65579,0.08333333333333333,11.499281299999893,0.005112844158429652,0.0015804724053821064,23.11263589859009,1.352035987997363,0.6370519801974297,0.11267400125850799,3.0964700000367884,1.6929882702057417
